,I,II,v1,v2,v3,v4,v5,v6
0,-220,70,21,37,-5,-49,-96,-2
1,-245,43,25,18,-75,-15,-132,-23
2,-187,-25,-9,-56,-71,-71,-113,-44
3,-175,-115,-62,-111,-122,-80,-139,-55
4,-113,-114,-89,-123,-111,-97,-159,-36
5,-100,-99,-48,-132,-146,-119,-109,-42
6,-89,-92,-61,-176,-116,-83,-104,1
7,-94,-91,-53,-165,-122,-94,-91,-9
8,-70,-53,-69,-147,-127,-44,-105,-47
9,-92,-100,-17,-134,-141,-80,-88,-20
10,-91,-47,51,-92,-154,-108,-60,-45
11,-67,-108,48,-111,-133,-170,-39,-45
12,-86,-155,45,-68,-164,-162,-49,-75
13,-82,-176,53,-92,-137,-137,-48,-93
14,-120,-182,30,-101,-123,-152,-41,-105
15,-146,-190,25,-116,-133,-136,-48,-79
16,-137,-136,23,-108,-154,-165,-51,-42
17,-160,-105,36,-127,-153,-160,-37,-40
18,-184,-132,-18,-120,-139,-125,-60,-30
19,-182,-101,-13,-106,-135,-127,-52,-31
20,-149,-76,6,-125,-68,-111,-32,-29
21,-175,-74,13,-100,-77,-90,-49,-25
22,-183,-57,47,-79,-23,-59,-67,-6
23,-203,-64,53,-66,-45,-64,-40,-26
24,-193,-84,61,-77,-29,-53,-38,-22
25,-180,-70,68,-69,26,0,-34,-34
26,-124,-38,45,-50,95,51,1,-37
27,-102,-51,65,-9,124,85,53,35
28,-112,-27,25,33,172,188,107,79
29,-51,18,22,39,231,236,199,155
30,-46,27,-18,75,221,330,300,218
31,-32,70,-28,137,290,393,404,299
32,55,62,-59,129,286,423,519,328
33,97,36,-128,85,256,457,587,436
34,193,59,-211,38,244,489,640,496
35,274,115,-302,-139,266,566,751,574
36,408,191,-416,-261,279,658,874,722
37,509,285,-541,-461,225,722,955,765
38,583,337,-612,-672,174,757,1012,841
39,625,342,-714,-896,52,735,980,830
40,636,336,-740,-1015,-78,668,878,750
41,560,308,-750,-1104,-140,566,794,686
42,466,289,-702,-1184,-120,450,667,592
43,417,199,-702,-1180,-171,320,468,490
44,306,135,-693,-1201,-283,140,273,363
45,171,34,-642,-1230,-443,-125,75,215
46,37,-29,-599,-1229,-593,-381,-118,43
47,-25,-87,-527,-1168,-637,-545,-272,-46
48,-91,-143,-444,-1131,-611,-632,-329,-65
49,-105,-107,-435,-1030,-533,-604,-324,-89
50,-125,-112,-406,-978,-444,-521,-282,-93
51,-113,-91,-400,-905,-404,-454,-239,-53
52,-150,-57,-369,-876,-337,-373,-191,-50
53,-187,-44,-348,-787,-244,-292,-157,-42
54,-146,-26,-344,-710,-139,-217,-88,-16
55,-118,-1,-303,-593,-70,-131,-31,25
56,-103,25,-277,-518,47,-53,41,54
57,-135,11,-240,-464,73,-14,84,87
58,-142,27,-223,-408,74,-6,96,65
59,-126,14,-166,-372,119,8,106,69
60,-113,22,-180,-356,124,9,96,42
61,-134,29,-132,-331,81,-33,68,26
62,-135,2,-160,-327,33,-73,26,5
63,-128,-20,-139,-315,30,-120,15,-11
64,-115,-19,-140,-276,30,-135,1,-35
65,-113,-28,-115,-256,32,-136,-11,-36
66,-104,-71,-104,-234,74,-140,-19,-34
67,-115,-94,-109,-227,51,-139,-34,-63
68,-129,-117,-127,-226,36,-141,-43,-47
69,-152,-117,-113,-214,29,-115,-28,-49
70,-124,-119,-110,-220,25,-119,-18,-41
71,-117,-121,-98,-204,44,-98,-2,-38
72,-114,-128,-119,-192,61,-94,1,-26
73,-116,-121,-93,-184,76,-86,20,-19
74,-100,-115,-65,-162,79,-65,24,-9
75,-92,-112,-58,-159,88,-63,23,-17
76,-91,-136,-35,-144,93,-46,28,-21
77,-98,-148,-26,-134,86,-55,26,-32
78,-97,-153,-7,-123,79,-41,14,-42
79,-119,-154,-4,-119,58,-29,24,-48
80,-117,-171,-13,-122,67,-39,18,-59
81,-131,-175,12,-120,74,-49,6,-70
82,-130,-167,-4,-140,47,-56,5,-82
83,-143,-165,14,-129,52,-61,3,-86
84,-141,-165,24,-119,46,-64,1,-81
85,-136,-145,36,-122,61,-53,7,-86
86,-127,-128,57,-99,71,-36,19,-68
87,-129,-124,64,-93,77,-42,18,-67
88,-116,-144,79,-81,66,-47,13,-59
89,-123,-175,57,-88,47,-72,9,-85
90,-137,-177,49,-101,36,-85,1,-97
91,-138,-175,56,-103,40,-82,-2,-87
92,-137,-173,39,-102,39,-76,-1,-93
93,-143,-171,57,-97,42,-63,10,-87
94,-145,-175,47,-104,38,-68,16,-84
95,-149,-171,48,-90,49,-64,18,-84
96,-138,-172,42,-82,43,-49,17,-71
97,-138,-174,40,-87,41,-56,16,-82
98,-136,-172,37,-76,31,-63,14,-62
99,-125,-180,38,-81,31,-64,18,-66
100,-124,-181,50,-63,50,-54,30,-68
101,-132,-193,45,-58,44,-53,34,-62
102,-124,-205,57,-50,51,-45,34,-66
103,-118,-206,61,-44,42,-48,39,-70
104,-129,-206,33,-54,43,-48,26,-79
105,-141,-205,35,-54,42,-49,22,-77
106,-130,-195,20,-59,46,-49,26,-67
107,-126,-190,28,-68,49,-57,21,-68
108,-125,-174,17,-55,39,-58,24,-58
109,-125,-171,14,-48,46,-52,36,-56
110,-122,-175,21,-30,56,-35,40,-59
111,-120,-182,22,-32,45,-36,39,-54
112,-108,-196,21,-31,53,-37,39,-53
113,-107,-204,12,-34,35,-37,40,-59
114,-111,-210,-2,-42,31,-46,39,-56
115,-116,-208,0,-57,28,-51,41,-53
116,-106,-202,-3,-56,32,-45,49,-43
117,-116,-208,0,-51,36,-36,57,-40
118,-120,-198,-5,-53,48,-33,49,-51
119,-128,-197,-1,-50,50,-39,47,-47
120,-125,-187,0,-47,52,-26,46,-49
121,-125,-186,0,-50,44,-37,49,-48
122,-113,-189,-13,-46,45,-37,47,-45
123,-115,-189,-20,-49,40,-40,46,-53
124,-119,-186,-25,-52,43,-50,49,-51
125,-123,-186,-28,-60,44,-50,52,-40
126,-111,-178,-22,-53,55,-45,58,-33
127,-113,-178,-24,-44,58,-29,68,-31
128,-116,-173,-35,-45,73,-24,64,-43
129,-117,-171,-35,-46,75,-33,62,-35
130,-111,-172,-39,-52,76,-23,60,-33
131,-106,-166,-32,-46,66,-30,65,-28
132,-103,-165,-37,-49,64,-33,66,-32
133,-103,-166,-40,-49,65,-33,67,-24
134,-104,-180,-40,-53,80,-27,67,-26
135,-101,-178,-40,-57,81,-29,72,-23
136,-96,-179,-38,-52,77,-27,71,-25
137,-96,-198,-33,-48,67,-26,69,-21
138,-93,-199,-43,-64,70,-31,70,-36
139,-84,-191,-36,-65,66,-29,72,-30
140,-80,-198,-42,-63,71,-21,79,-24
141,-75,-198,-36,-63,76,-21,93,-11
142,-63,-179,-31,-53,83,-21,96,-9
143,-55,-179,-21,-48,93,-27,96,-4
144,-66,-186,-18,-54,99,-13,92,-13
145,-56,-193,-22,-52,95,-28,95,-14
146,-47,-187,-24,-50,79,-27,92,-25
147,-26,-180,-20,-50,79,-28,89,-8
148,-20,-183,-38,-36,98,-34,94,-12
149,-10,-184,-45,-32,101,-35,103,-7
150,-3,-189,-49,-39,98,-37,108,-4
151,6,-185,-59,-34,99,-35,103,5
152,5,-179,-74,-36,100,-24,108,4
153,8,-182,-72,-42,104,-19,111,13
154,6,-171,-74,-36,110,-25,119,18
155,21,-151,-76,-34,110,-31,125,23
156,34,-149,-71,-27,102,-26,133,18
157,43,-146,-77,-20,97,-28,138,30
158,49,-149,-90,-29,110,-20,126,32
159,63,-148,-94,-33,104,-25,120,32
160,57,-136,-96,-25,105,-34,127,40
161,61,-129,-108,-24,103,-43,132,51
162,76,-125,-105,-13,103,-39,135,48
163,103,-114,-98,-6,101,-40,145,60
164,95,-122,-103,-16,108,-40,150,60
165,89,-136,-112,-13,102,-41,147,63
166,95,-125,-112,-2,88,-41,148,65
167,120,-106,-117,-2,97,-35,146,77
168,121,-106,-129,-4,113,-35,145,80
169,120,-105,-134,1,104,-34,157,86
170,119,-95,-130,4,100,-33,156,89
171,127,-92,-119,2,93,-25,149,93
172,133,-96,-126,0,89,-20,160,94
173,142,-92,-140,1,90,-16,174,99
174,146,-92,-133,5,93,-10,177,109
175,146,-98,-137,12,95,-15,176,111
176,149,-98,-133,8,101,-17,168,105
177,151,-85,-133,10,95,-5,170,93
178,148,-80,-136,13,97,0,175,95
179,150,-87,-127,5,104,9,170,106
180,154,-69,-117,11,99,15,182,115
181,154,-65,-131,12,96,19,191,106
182,151,-70,-125,8,93,11,188,104
183,148,-55,-107,9,111,21,190,104
184,144,-48,-101,20,109,36,191,112
185,125,-66,-105,16,99,48,194,102
186,107,-71,-95,12,97,49,203,106
187,111,-66,-101,0,112,50,206,105
188,102,-59,-93,-10,106,51,220,102
189,79,-62,-81,-14,121,59,214,93
190,72,-65,-67,-9,112,49,199,103
191,59,-57,-62,-26,105,71,200,77
192,50,-48,-47,-24,110,74,194,85
193,44,-50,-68,-28,116,81,189,84
194,45,-47,-76,-45,90,96,184,79
195,42,-69,-71,-55,73,73,170,68
196,29,-87,-70,-70,47,29,151,56
197,2,-89,-79,-81,31,26,142,28
198,-12,-101,-74,-66,36,25,141,19
199,-12,-99,-63,-77,45,29,131,22
200,-6,-99,-58,-102,16,29,130,10
201,-25,-125,-54,-92,8,26,114,-9
202,-37,-145,-44,-97,8,3,108,-6
203,-54,-140,-52,-120,7,2,97,-27
204,-56,-136,-34,-117,-3,8,89,-16
205,-47,-113,-32,-128,1,19,105,-14
206,-59,-106,-28,-129,-3,18,100,-18
207,-81,-138,-25,-129,-16,-3,93,-22
208,-82,-140,-27,-151,-39,0,94,-41
209,-90,-131,-30,-156,-47,-1,82,-53
210,-88,-149,-39,-151,-62,-18,73,-54
211,-88,-135,-37,-161,-44,-21,70,-54
212,-97,-120,-34,-161,-28,-33,70,-59
213,-112,-125,-31,-155,-33,-31,65,-57
214,-113,-133,-17,-162,-31,-19,64,-50
215,-134,-142,-22,-169,-32,-5,62,-72
216,-128,-132,-20,-172,-52,-9,58,-63
217,-118,-122,-13,-173,-47,-15,62,-51
218,-109,-125,-5,-157,-38,-19,65,-46
219,-108,-127,-20,-162,-52,-29,78,-45
220,-114,-137,-26,-183,-54,-31,68,-58
221,-115,-142,-22,-186,-52,-41,44,-66
222,-124,-146,-42,-196,-56,-40,37,-76
223,-141,-161,-50,-201,-62,-35,36,-81
224,-139,-155,-51,-198,-59,-50,40,-85
225,-136,-145,-35,-196,-45,-45,43,-78
226,-130,-148,-27,-188,-50,-45,48,-73
227,-142,-145,-28,-187,-64,-46,56,-75
228,-145,-158,-30,-209,-71,-35,52,-66
229,-132,-163,-26,-215,-71,-37,50,-66
230,-136,-151,-18,-203,-65,-35,58,-58
231,-148,-150,-24,-203,-58,-37,67,-54
232,-145,-156,-11,-195,-52,-36,63,-63
233,-132,-152,5,-191,-54,-44,66,-66
234,-132,-156,1,-187,-41,-41,60,-70
235,-154,-169,-8,-185,-50,-38,43,-79
236,-159,-169,-18,-199,-64,-34,38,-92
237,-139,-164,-18,-207,-61,-40,33,-85
238,-131,-154,-35,-204,-61,-51,35,-78
239,-142,-141,-27,-187,-46,-34,55,-70
240,-146,-142,-18,-176,-28,-21,65,-67
241,-137,-147,-3,-183,-28,-11,60,-63
242,-133,-152,12,-175,-44,-2,70,-54
243,-137,-155,-8,-176,-50,-10,79,-61
244,-134,-158,-15,-174,-45,-7,78,-64
245,-124,-152,-12,-178,-37,-16,78,-60
246,-117,-151,-11,-182,-37,-19,73,-68
247,-123,-148,-6,-175,-42,0,72,-66
248,-133,-155,-16,-178,-29,6,68,-78
249,-128,-155,-7,-177,-21,-1,62,-72
250,-125,-138,-8,-178,-25,10,73,-74
251,-137,-130,-14,-168,-25,12,79,-76
252,-128,-131,-9,-163,-33,3,70,-68
253,-124,-126,0,-165,-30,-3,67,-71
254,-113,-111,5,-153,-32,-13,73,-69
255,-110,-103,-4,-155,-41,-5,79,-63
256,-113,-116,-17,-157,-26,14,86,-66
257,-93,-118,-26,-157,-8,12,86,-61
258,-87,-110,-32,-164,-11,8,84,-67
259,-99,-106,-28,-151,-8,8,85,-62
260,-106,-117,-25,-150,2,16,83,-67
261,-101,-98,-7,-148,-1,31,90,-70
262,-106,-94,-2,-147,-19,33,95,-68
263,-117,-103,-14,-160,-22,27,84,-52
264,-106,-100,-14,-172,-19,22,92,-56
265,-95,-108,-15,-166,-16,8,95,-67
266,-100,-106,-13,-166,-29,-1,82,-70
267,-104,-98,-3,-169,-39,7,87,-70
268,-109,-112,0,-164,-34,17,83,-65
269,-94,-116,1,-169,-36,12,88,-58
270,-87,-105,-6,-169,-42,16,103,-67
271,-89,-103,-9,-152,-32,8,102,-64
272,-77,-105,-9,-155,-34,2,88,-60
273,-77,-104,-10,-163,-44,-2,81,-71
274,-93,-101,-12,-161,-43,-10,77,-77
275,-88,-91,-7,-164,-34,3,74,-63
276,-81,-79,-6,-158,-20,9,93,-65
277,-84,-90,-7,-152,-17,1,94,-66
278,-84,-92,1,-148,-32,0,93,-62
279,-80,-94,-1,-137,-39,3,102,-64
280,-76,-104,1,-141,-48,8,89,-60
281,-73,-89,7,-154,-45,11,87,-55
282,-77,-81,-9,-152,-33,6,100,-51
283,-65,-86,-18,-148,-30,0,104,-44
284,-66,-80,-8,-150,-26,4,108,-47
285,-75,-75,-13,-147,-26,11,108,-50
286,-73,-84,-17,-149,-22,12,93,-50
287,-69,-90,-15,-157,-17,8,91,-55
288,-77,-82,-19,-159,-21,7,103,-57
289,-83,-73,-13,-154,-24,19,101,-49
290,-73,-78,6,-145,-29,14,102,-45
291,-66,-88,-10,-150,-37,-6,103,-46
292,-77,-85,-20,-159,-38,-7,98,-52
293,-81,-71,-1,-153,-32,0,104,-49
294,-79,-60,2,-149,-31,6,108,-43
295,-78,-65,4,-149,-30,14,96,-44
296,-77,-65,5,-139,-31,8,102,-46
297,-75,-65,2,-138,-27,-2,108,-41
298,-72,-62,6,-140,-17,12,105,-44
299,-63,-49,-1,-140,-18,17,107,-51
300,-70,-53,-16,-147,-15,5,105,-44
301,-70,-58,-10,-155,-22,0,97,-36
302,-64,-49,-14,-149,-24,0,104,-38
303,-63,-55,-12,-148,-16,3,107,-36
304,-64,-63,-4,-149,-20,2,115,-34
305,-68,-62,-9,-150,-25,-5,113,-38
306,-72,-61,-6,-150,-23,2,104,-33
307,-75,-60,-4,-147,-25,9,108,-31
308,-81,-65,-7,-154,-22,1,110,-38
309,-87,-76,-3,-164,-24,-8,99,-44
310,-85,-62,-1,-162,-32,-13,99,-43
311,-87,-57,-3,-161,-36,-15,99,-43
312,-86,-64,-11,-156,-33,-8,87,-39
313,-85,-59,-9,-157,-38,-15,89,-47
314,-85,-59,-6,-155,-40,-21,92,-50
315,-84,-73,-6,-150,-37,-21,83,-45
316,-88,-73,-8,-149,-35,-19,91,-49
317,-87,-69,-10,-149,-39,-20,92,-53
318,-90,-70,-17,-141,-39,-17,84,-50
319,-92,-64,-12,-146,-33,-14,86,-51
320,-90,-64,-15,-149,-29,-14,96,-45
321,-88,-70,-19,-147,-31,-16,93,-43
322,-87,-68,-7,-147,-38,-21,96,-45
323,-86,-74,-6,-148,-40,-24,95,-44
324,-93,-80,-13,-137,-29,-18,88,-42
325,-98,-71,-11,-139,-27,-25,94,-44
326,-90,-64,-12,-139,-29,-21,94,-48
327,-88,-55,-6,-133,-30,-21,89,-40
328,-84,-53,-16,-140,-33,-20,88,-40
329,-84,-58,-26,-142,-47,-25,83,-42
