,I,II,v1,v2,v3,v4,v5,v6
0,195,100,-585,-652,-434,-285,81,357
1,-125,-124,-641,-901,-726,-427,-125,91
2,-139,-262,-525,-1165,-884,-570,-318,86
3,-87,-503,-732,-1233,-1028,-808,-435,-174
4,101,-363,-770,-998,-1014,-796,-569,-92
5,107,-311,-639,-856,-845,-630,-303,-172
6,-22,-172,-526,-822,-573,-497,-270,-159
7,55,-107,-449,-587,-465,-300,-185,27
8,-46,-33,-264,-362,-655,-253,-98,-53
9,-86,-64,-152,-246,-390,-201,31,140
10,-156,58,47,-191,-367,-140,114,-79
11,-21,-47,103,-115,-179,-197,58,-89
12,-244,-219,149,-104,-266,-109,88,-37
13,-61,-237,94,-104,-154,-119,-2,-30
14,-56,-362,57,-15,-63,-15,0,-67
15,-8,-296,5,-30,-123,-25,-46,-129
16,-16,-336,-49,-52,68,-48,-12,-47
17,-10,-216,14,-87,-44,-31,-84,-102
18,56,-258,-50,-105,-30,-113,-113,-30
19,-108,-227,-57,-141,-90,-58,-108,-62
20,-1,-168,-51,-138,-143,-28,-40,14
21,-27,-185,-44,-102,-80,-28,-8,18
22,5,-153,-38,-81,-55,-72,-24,-23
23,-1,-148,-18,-64,-75,-52,-23,11
24,-67,-174,-3,-115,-85,-76,-31,-21
25,-50,-166,-11,-150,-94,-95,-37,-4
26,-40,-167,-53,-163,-142,-72,-43,0
27,-89,-198,-66,-163,-126,-57,-19,-40
28,-102,-181,-71,-150,-132,-74,-30,9
29,-101,-188,-57,-139,-82,-45,-21,4
30,-84,-162,-36,-115,-105,-57,-31,-10
31,-70,-162,-44,-117,-119,-71,-29,19
32,-82,-176,-24,-111,-75,-43,-17,0
33,-57,-150,-29,-102,-91,-37,-16,-4
34,-63,-154,-50,-116,-80,-18,-36,-3
35,-80,-155,-50,-116,-100,-10,-33,0
36,-70,-156,-47,-121,-117,-26,-17,20
37,-86,-184,-51,-126,-93,-8,-5,20
38,-71,-167,-31,-116,-86,-13,10,26
39,-66,-185,-24,-125,-92,-37,-14,16
40,-90,-212,-13,-115,-72,-49,-34,1
41,-81,-200,-15,-116,-83,-75,-27,-18
42,-87,-210,-11,-124,-89,-53,-40,-27
43,-96,-217,-18,-117,-88,-54,-34,-16
44,-104,-224,-15,-120,-89,-59,-35,-10
45,-105,-217,-9,-110,-79,-47,-26,-4
46,-120,-216,-5,-98,-90,-61,-16,5
47,-122,-204,0,-100,-71,-42,-14,4
48,-114,-200,11,-87,-74,-33,-8,8
49,-108,-209,1,-68,-72,-20,-10,13
50,-116,-202,1,-74,-71,-18,-8,7
51,-99,-188,0,-67,-50,-9,0,11
52,-93,-179,-6,-43,-29,0,0,13
53,-78,-155,11,-32,-31,5,-2,29
54,-68,-151,10,-32,-19,17,18,25
55,-51,-123,11,-20,-19,11,18,29
56,-28,-123,25,-27,-7,29,22,35
57,-36,-134,22,-32,-6,29,17,51
58,-36,-128,28,-24,-5,21,16,57
59,-35,-127,31,-27,-15,6,4,39
60,-40,-144,47,-23,0,-11,3,21
61,-58,-155,45,-31,-8,-23,4,17
62,-61,-157,35,-43,-25,-12,-5,11
63,-57,-170,40,-24,-19,-17,-5,20
64,-64,-170,21,-28,-35,-24,-1,11
65,-67,-146,28,-31,-17,-3,18,16
66,-79,-151,41,-17,-12,-8,22,41
67,-69,-144,23,-25,-6,1,20,52
68,-69,-128,27,-27,-17,1,27,55
69,-75,-123,30,-12,-11,10,46,39
70,-85,-117,36,6,0,20,47,49
71,-75,-118,33,26,35,50,58,74
72,-57,-97,52,41,48,58,69,70
73,-29,-68,67,52,45,41,56,89
74,-52,-81,73,61,67,51,62,77
75,-35,-41,70,71,71,54,71,74
76,-8,-32,80,67,77,83,77,82
77,-19,-45,75,82,73,95,61,95
78,-14,-39,82,88,82,82,63,93
79,-5,-35,101,95,91,78,62,94
80,-2,-33,106,110,89,75,74,79
81,-5,-30,106,104,86,65,56,82
82,1,-49,115,95,98,72,52,70
83,10,-45,110,106,85,47,51,64
84,-1,-47,90,102,67,49,39,53
85,-5,-38,107,104,85,62,56,66
86,0,-36,108,102,78,64,77,73
87,0,-32,100,105,88,75,75,87
88,6,-28,109,114,85,78,89,102
89,16,-11,109,121,100,83,109,108
90,10,-1,109,133,107,100,115,115
91,19,7,99,152,132,123,140,124
92,33,24,107,181,138,138,156,144
93,50,30,105,198,160,146,162,163
94,67,41,112,216,182,169,177,160
95,96,80,115,251,192,189,196,173
96,110,86,114,274,202,212,204,189
97,115,102,102,291,220,220,212,207
98,129,121,95,316,242,243,230,220
99,155,128,104,348,262,261,231,228
100,161,146,100,379,291,273,267,231
101,164,143,98,397,313,294,266,231
102,178,144,100,428,331,300,269,248
103,186,147,85,419,324,300,280,244
104,183,134,91,431,336,306,285,266
105,184,144,86,446,341,320,311,264
106,183,156,58,441,338,317,311,275
107,197,157,55,443,354,315,320,291
108,180,168,34,439,363,334,346,301
109,194,192,59,465,386,362,366,315
110,198,206,69,494,399,369,373,333
111,196,221,73,495,430,395,369,340
112,198,226,81,509,451,400,373,359
113,193,223,48,502,436,417,384,346
114,188,219,59,491,441,445,382,352
115,183,204,65,487,423,454,375,345
116,193,215,38,464,431,427,371,347
117,196,215,43,446,430,403,363,353
118,173,222,25,436,419,417,379,332
119,171,247,54,447,413,410,367,315
120,184,226,75,454,396,412,339,304
121,156,200,63,447,375,398,302,260
122,151,184,61,430,374,374,268,245
123,134,153,59,420,355,374,246,226
